time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0,10,0,0,0,0,0,1,0,0,0,0,A431,4304.078899,776.0720587,416.2294691,150.4557729,22699.48797,1017.680916,176.237474,267.1777804,0.119408331,4.605826737,8.327195373,6.211973935,NaN,NaN,,,,,
5,0,10,0,0,0,0,0,1,0,0,0,0,A431,2075.988371,1625.156211,3995.351995,124.4598225,17470.53248,949.8395038,147.7269658,272.060476,1.74227405,12.47705121,8.210276603,7.250512924,NaN,NaN,,,,,
10,0,10,0,0,0,0,0,1,0,0,0,0,A431,2736.918572,1259.099102,2474.682145,52.76338006,15050.61504,946.4597069,120.9013769,316.0811687,0.378812812,11.58993755,16.16124105,6.660235088,NaN,NaN,,,,,
15,0,10,0,0,0,0,0,1,0,0,0,0,A431,4931.244126,1374.400218,2307.665196,142.2733741,16003.72488,863.475604,106.8043685,279.189665,0.122330727,11.09630929,15.17009275,7.512851429,NaN,NaN,,,,,
30,0,10,0,0,0,0,0,1,0,0,0,0,A431,1795.398456,2687.425572,4024.763712,233.1641764,19500.82411,2237.3394,160.8577798,344.5091776,0.348752479,16.97421192,29.59174359,6.251496106,NaN,NaN,,,,,
60,0,10,0,0,0,0,0,1,0,0,0,0,A431,2047.239058,1665.335132,3422.618377,0,25843.65945,980.8640442,153.1023778,299.1314118,0.253312989,13.40421139,27.96975464,6.243002693,NaN,NaN,,,,,
120,0,10,0,0,0,0,0,1,0,0,0,0,A431,3854.822814,1548.012591,2473.696958,110.2973192,17803.60394,494.621695,95.40627703,239.4346516,0.190592265,15.65038773,28.20353232,6.717511378,NaN,NaN,,,,,
240,0,10,0,0,0,0,0,1,0,0,0,0,A431,2127.135719,1532.921634,2198.334086,71.56049106,31443.75408,362.476739,119.4870635,284.6072606,0.306443413,20.61310333,29.83069024,7.287904835,NaN,NaN,,,,,
0,0,0,0.15625,0,0,0,0,1,0,0,0,0,A431,2226.574085,425.2304947,388.5754678,125.6252691,19413.81547,1138.838033,164.0230987,359.2260361,0.135318669,5.635753797,6.437792723,6.768430024,NaN,NaN,,,,,
5,0,0,0.15625,0,0,0,0,1,0,0,0,0,A431,3127.443152,746.5302167,261.5560468,433.1462218,18430.93971,1105.611152,182.1674057,274.87072,0.399931041,5.826359516,5.677667569,5.947772296,NaN,NaN,,,,,
10,0,0,0.15625,0,0,0,0,1,0,0,0,0,A431,1952.568545,441.4529312,288.4562451,569.7197959,19010.13889,944.3993162,121.6089331,286.9144531,0.316623162,6.742878802,8.411322165,7.722220684,NaN,NaN,,,,,
15,0,0,0.15625,0,0,0,0,1,0,0,0,0,A431,1952.568545,36.0495915,233.8825973,474.6944944,19392.97114,915.3470154,122.9820579,289.6342476,0.247910427,7.708132738,8.349737321,7.713707209,NaN,NaN,,,,,
30,0,0,0.15625,0,0,0,0,1,0,0,0,0,A431,7678.525366,380.3896839,328.4841691,378.6213411,21908.74658,1298.47786,187.8026965,349.4190067,0.159509159,6.240877621,12.12077087,6.182466853,NaN,NaN,,,,,
60,0,0,0.15625,0,0,0,0,1,0,0,0,0,A431,5707.067361,1018.231932,479.2147517,350.2630207,22595.19071,1177.568383,226.4906782,323.31913,0.137661147,6.726599225,9.931467663,7.099398701,NaN,NaN,,,,,
120,0,0,0.15625,0,0,0,0,1,0,0,0,0,A431,0,669.0510702,340.9720144,50.32855368,26354.94245,356.4327928,134.8784676,203.2948829,0.170815315,6.586555036,12.90430829,7.862898398,NaN,NaN,,,,,
240,0,0,0.15625,0,0,0,0,1,0,0,0,0,A431,2079.735238,622.8523105,315.4766698,33.08461067,29480.21483,424.5755758,206.8808784,288.1753136,0.464763209,2.215145633,15.18131559,1.859016842,NaN,NaN,,,,,
0,0,0,0.625,0,0,0,0,1,0,0,0,0,A431,2569.948948,333.143704,313.4683929,0,18951.25333,996.8861226,153.8306435,227.1373971,0.125747426,4.349369638,8.101548441,5.771359276,NaN,NaN,,,,,
5,0,0,0.625,0,0,0,0,1,0,0,0,0,A431,2250.742136,366.0306849,271.2525513,1680.116911,17783.40336,1047.734166,172.5632351,255.6413313,0.328698813,8.39740091,7.269540865,6.878628814,NaN,NaN,,,,,
10,0,0,0.625,0,0,0,0,1,0,0,0,0,A431,3711.931821,400.8192129,280.2404677,2655.03655,15480.27524,974.8859455,120.2082484,303.6678898,0.352228453,8.587332569,11.95223341,7.221269996,NaN,NaN,,,,,
