time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
30,0,0,10,0,0,0,0,0,0,0,0,0,ACHN,0,86.34768129,92.57011954,768.160189,2104.028986,161.9904238,14.72506862,105.5982627,0.305203759,6.495482692,3.788520958,7.065978746,NaN,,,,,
60,0,0,10,0,0,0,0,0,0,0,0,0,ACHN,1088.789555,65.23822679,116.4008618,682.8412131,2106.279253,172.3565165,13.38823352,113.0817155,0.327713677,7.064498118,4.602508395,7.528380785,NaN,,,,,
120,0,0,10,0,0,0,0,0,0,0,0,0,ACHN,508.2408102,0,0,1049.815094,1687.898467,92.42289845,14.47140687,104.2389529,0.3117351,6.443822708,4.729921552,7.83053197,NaN,,,,,
240,0,0,10,0,0,0,0,0,0,0,0,0,ACHN,2012.33902,83.8049754,25.85838703,1088.944706,2051.633903,110.1071973,14.54434456,105.0947404,0.328584927,6.093102414,5.894468427,6.918453159,NaN,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1805.491404,156.1512489,4.372345455,98.04295368,0.304465179,5.095375625,3.611003246,6.748667268,NaN,65.64612476,4.934643359,1.188344048,3.3311,10.72007962
5,0,0,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,255.2231797,1613.818061,108.9208287,9.909453732,65.84464768,0.622778379,6.767595739,3.373392904,7.292240533,NaN,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,ACHN,476.5366016,41.71808537,41.2619074,75.1599326,1485.789386,109.9600115,10.26072116,78.46225338,0.37605448,4.958435199,3.188692909,6.815501867,NaN,,,,,
15,0,0,0,0,0,0,0,0,0,0,0,0,ACHN,338.1091466,0,46.58954046,72.26391552,1811.203698,128.5654202,12.0504937,95.8978676,0.221186651,5.141627872,4.356845159,7.763148277,NaN,,,,,
30,0,0,0,0,0,0,0,0,0,0,0,0,ACHN,2805.722562,141.5284661,75.62211107,242.7461121,1950.114263,169.9218021,17.85918092,117.2302154,0.326757991,5.782933472,3.587748397,7.079267968,NaN,,,,,
60,0,0,0,0,0,0,0,0,0,0,0,0,ACHN,357.9034087,180.7490854,0,296.7524884,1963.253864,157.0113865,12.12972583,111.7070897,0.407302095,5.011764058,3.476157747,7.677454335,NaN,,,,,
120,0,0,0,0,0,0,0,0,0,0,0,0,ACHN,744.9256178,758.2313629,106.1954107,0,1545.073597,85.255723,10.41073981,87.65343924,0.387097761,5.458820334,3.419243705,7.638701938,NaN,,,,,
240,0,0,0,0,0,0,0,0,0,0,0,0,ACHN,452.6858395,0,14.72191642,0,1969.98972,104.2064004,14.95631978,112.6729444,0.271807143,4.703865121,4.800560854,6.770727618,NaN,,,,,
