time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
15,0,2.5,0,0,0,0,0,0,0,0,0,0,BT474M3,4126.121386,33013.11147,11533.13166,118.6208424,891.7301306,12246.59015,285.9503452,57.44326994,0.398853022,31.40671792,8.754228908,8.330295973,NaN,,,,,
30,0,2.5,0,0,0,0,0,0,0,0,0,0,BT474M3,3197.501557,23213.12902,12067.53394,198.9690151,1087.561447,14862.75014,305.445024,69.39145028,0.801916545,53.25102564,7.794216722,7.48481703,NaN,,,,,
60,0,2.5,0,0,0,0,0,0,0,0,0,0,BT474M3,4786.277364,33389.0112,13293.49865,733.3618132,904.8939059,13354.82587,274.7482147,56.96656397,0.38858288,34.15871972,6.788229819,8.130379078,NaN,,,,,
120,0,2.5,0,0,0,0,0,0,0,0,0,0,BT474M3,2197.423284,26116.80075,9823.752741,95.30158498,750.6605586,12440.57449,204.8877479,42.74013783,0.347089043,38.42190052,6.952354933,8.481064487,NaN,,,,,
240,0,2.5,0,0,0,0,0,0,0,0,0,0,BT474M3,2471.056636,23241.06096,8658.419748,142.8392144,934.1125241,13450.65103,257.2856455,59.78153282,0.313895106,48.53280726,8.31990672,7.816430835,NaN,,,,,
0,0,10,0,0,0,0,0,0,0,0,0,0,BT474M3,6773.584708,54733.99657,1802.535765,96.4010341,1226.96054,15641.1301,390.8441654,56.30629645,0.130693392,39.54684464,11.01191613,4.836633612,NaN,,,,,
5,0,10,0,0,0,0,0,0,0,0,0,0,BT474M3,2800.812528,27122.88438,11038.53784,0,838.8382757,12492.3897,243.2049279,49.42404412,0.839620859,60.61860202,8.059472833,8.003350495,NaN,,,,,
10,0,10,0,0,0,0,0,0,0,0,0,0,BT474M3,3343.832779,22567.80831,13272.15439,190.9553791,1006.048743,14177.00623,298.5922321,69.28640017,0.788962797,55.6096944,6.924278078,7.880719651,NaN,,,,,
15,0,10,0,0,0,0,0,0,0,0,0,0,BT474M3,4733.891138,32390.46512,15011.49222,172.4293056,904.7999846,12897.61067,314.3182148,66.17384564,0.417048343,70.10887405,8.883937363,7.197470453,NaN,,,,,
30,0,10,0,0,0,0,0,0,0,0,0,0,BT474M3,3386.384403,22379.21904,12239.87644,180.9656306,857.0346257,13190.37948,281.8589536,63.57583285,0.711709878,89.39088256,9.376421136,7.30258005,NaN,,,,,
60,0,10,0,0,0,0,0,0,0,0,0,0,BT474M3,4602.258867,33603.81101,14277.51268,105.4163858,902.7163771,14026.67816,280.7464767,52.33360637,0.401447143,41.10788418,6.803183437,7.655525311,NaN,,,,,
120,0,10,0,0,0,0,0,0,0,0,0,0,BT474M3,3405.191752,25394.11203,11894.48606,108.9667927,817.6641399,12089.16781,231.8812745,50.84228349,1.033794058,83.23545128,13.21172483,6.913394034,NaN,,,,,
240,0,10,0,0,0,0,0,0,0,0,0,0,BT474M3,3381.706118,23977.62264,9344.953134,497.2534934,891.5259402,13073.78573,247.5399564,63.99281058,0.356324997,294.5675033,9.60783344,7.02901329,NaN,,,,,
0,0,0,0.15625,0,0,0,0,0,0,0,0,0,BT474M3,5769.248827,56044.33935,1744.415272,204.7776335,1068.667908,12274.64723,309.5680529,66.95584583,0.151222669,24.85539239,8.240582199,6.724241576,NaN,,,,,
