time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pMet_au,pERK_au,pAKT_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
20,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
30,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
60,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
90,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
120,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_200,,2070.348576,26859.59659,10970.44242,,,,,
2,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,32762.51812,17030.0695,9538.476537,,,,,
3,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,36828.33024,24249.09876,12236.44136,,,,,
4,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,37248.65817,30578.81311,15423.72262,,,,,
5,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,37077.40171,38105.96502,14431.93244,,,,,
7,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,34298.77593,45582.59757,8156.957287,,,,,
10,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,44858.45072,45402.15764,12069.54425,,,,,
20,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,50508.07931,41546.98694,11308.13691,,,,,
30,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,53432.89134,42752.09654,16511.69738,,,,,
60,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,37937.3075,38957.47346,13948.67617,,,,,
90,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,28810.12207,39668.3495,12216.18686,,,,,
120,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_197,,,36900.3437,6740.503068,,,,,
2,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,30951.43922,15974.6964,5424.964892,,,,,
3,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,30330.23258,25608.47017,6891.909541,,,,,
4,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,31153.33703,29457.16795,9519.356285,,,,,
5,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,31296.19418,31981.37936,6464.101996,,,,,
7,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,32408.0476,45517.2955,6472.106577,,,,,
10,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,15739.22004,43788.79554,6598.008577,,,,,
20,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,20462.47396,44406.93118,9399.644061,,,,,
30,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,20816.67271,43608.75659,8420.654734,,,,,
60,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,32653.14265,46654.81173,9606.79093,,,,,
90,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,31554.70944,47648.49156,8375.932787,,,,,
120,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_197,,,37148.14787,4727.302532,,,,,
2,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,22566.75763,15963.41175,5954.757918,,,,,
3,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,21111.03248,22848.65577,7841.116644,,,,,
4,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,23422.02079,27339.54785,9126.062416,,,,,
5,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,23512.35959,36980.53922,9021.80843,,,,,
7,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,28492.31701,53869.2011,8559.71406,,,,,
10,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,31728.16265,53608.16467,10083.33891,,,,,
20,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,38433.57075,49185.89704,10064.21866,,,,,
