time,nExpID,SOCS3_noHK_qpcr_scaled,input_ActD,input_apap,input_dcf,input_il6,HAMP_noHK_qpcr_scaled,TFRC_qpcr_scaled,gp130_qpcr_scaled,STAT3_qpcr_scaled,Experiment
150,7,177,0,0,500,10,2650,934,NaN,NaN,Anja_2016_38
150,8,157,0,0,500,10,2520,911,NaN,NaN,Anja_2016_38
240,7,86.6,0,0,500,10,2720,1130,NaN,NaN,Anja_2016_38
240,8,78.1,0,0,500,10,2560,1100,NaN,NaN,Anja_2016_38
360,7,64.9,0,0,500,10,1430,1070,NaN,NaN,Anja_2016_38
360,8,63.8,0,0,500,10,1290,986,NaN,NaN,Anja_2016_38
45,7,903,1,0,0,10,252,1350,NaN,NaN,Anja_2016_38
45,8,958,1,0,0,10,263,1340,NaN,NaN,Anja_2016_38
50,7,905,1,0,0,10,262,1170,NaN,NaN,Anja_2016_38
50,8,806,1,0,0,10,256,1170,NaN,NaN,Anja_2016_38
60,7,602,1,0,0,10,285,1440,NaN,NaN,Anja_2016_38
60,8,637,1,0,0,10,264,1390,NaN,NaN,Anja_2016_38
70,7,335,1,0,0,10,300,1480,NaN,NaN,Anja_2016_38
70,8,366,1,0,0,10,290,1540,NaN,NaN,Anja_2016_38
90,7,138,1,0,0,10,275,903,NaN,NaN,Anja_2016_38
90,8,123,1,0,0,10,287,884,NaN,NaN,Anja_2016_38
120,7,70,1,0,0,10,381,1120,NaN,NaN,Anja_2016_38
120,8,74.3,1,0,0,10,356,1100,NaN,NaN,Anja_2016_38
150,7,61.5,1,0,0,10,317,1340,NaN,NaN,Anja_2016_38
150,8,67.7,1,0,0,10,316,1250,NaN,NaN,Anja_2016_38
240,7,36.9,1,0,0,10,154,1310,NaN,NaN,Anja_2016_38
240,8,29.6,1,0,0,10,151,1310,NaN,NaN,Anja_2016_38
360,7,24.8,1,0,0,10,73.8,1290,NaN,NaN,Anja_2016_38
360,8,29.2,1,0,0,10,67.3,1210,NaN,NaN,Anja_2016_38
45,7,741,1,0,500,10,511,885,NaN,NaN,Anja_2016_38
45,8,729,1,0,500,10,480,932,NaN,NaN,Anja_2016_38
50,7,897,1,0,500,10,661,1260,NaN,NaN,Anja_2016_38
50,8,820,1,0,500,10,624,1250,NaN,NaN,Anja_2016_38
60,7,548,1,0,500,10,601,1090,NaN,NaN,Anja_2016_38
60,8,476,1,0,500,10,536,1080,NaN,NaN,Anja_2016_38
70,7,550,1,0,500,10,652,1030,NaN,NaN,Anja_2016_38
70,8,512,1,0,500,10,642,983,NaN,NaN,Anja_2016_38
90,7,327,1,0,500,10,724,1070,NaN,NaN,Anja_2016_38
90,8,309,1,0,500,10,640,1050,NaN,NaN,Anja_2016_38
120,7,94.4,1,0,500,10,807,1220,NaN,NaN,Anja_2016_38
120,8,83.4,1,0,500,10,861,1200,NaN,NaN,Anja_2016_38
150,7,90.1,1,0,500,10,983,1370,NaN,NaN,Anja_2016_38
150,8,138,1,0,500,10,956,1320,NaN,NaN,Anja_2016_38
240,7,31.8,1,0,500,10,1130,1290,NaN,NaN,Anja_2016_38
240,8,25.6,1,0,500,10,1170,1300,NaN,NaN,Anja_2016_38
360,7,30.2,1,0,500,10,1260,1660,NaN,NaN,Anja_2016_38
360,8,30,1,0,500,10,1110,1530,NaN,NaN,Anja_2016_38
0,10,7.25,0,0,0,0,918,NaN,NaN,NaN,Anja_2018_19
0,11,2.94,0,0,0,0,879,NaN,NaN,NaN,Anja_2018_19
40,10,2410,0,0,0,10,2080,NaN,NaN,NaN,Anja_2018_19
40,11,2320,0,0,0,10,2090,NaN,NaN,NaN,Anja_2018_19
50,10,2690,0,0,0,10,3010,NaN,NaN,NaN,Anja_2018_19
50,11,2920,0,0,0,10,3190,NaN,NaN,NaN,Anja_2018_19
60,10,1700,0,0,0,10,3760,NaN,NaN,NaN,Anja_2018_19
60,11,1660,0,0,0,10,3370,NaN,NaN,NaN,Anja_2018_19
70,10,927,0,0,0,10,4580,NaN,NaN,NaN,Anja_2018_19
70,11,920,0,0,0,10,4710,NaN,NaN,NaN,Anja_2018_19
90,10,202,0,0,0,10,3040,NaN,NaN,NaN,Anja_2018_19
90,11,204,0,0,0,10,3220,NaN,NaN,NaN,Anja_2018_19
120,10,108,0,0,0,10,4480,NaN,NaN,NaN,Anja_2018_19
120,11,92.2,0,0,0,10,4250,NaN,NaN,NaN,Anja_2018_19
150,10,79.9,0,0,0,10,2540,NaN,NaN,NaN,Anja_2018_19
150,11,83.3,0,0,0,10,2430,NaN,NaN,NaN,Anja_2018_19
240,10,137,0,0,0,10,1180,NaN,NaN,NaN,Anja_2018_19
240,11,128,0,0,0,10,1220,NaN,NaN,NaN,Anja_2018_19
360,10,115,0,0,0,10,533,NaN,NaN,NaN,Anja_2018_19
360,11,108,0,0,0,10,472,NaN,NaN,NaN,Anja_2018_19
40,10,839,0,10,0,10,1320,NaN,NaN,NaN,Anja_2018_19
40,11,797,0,10,0,10,1390,NaN,NaN,NaN,Anja_2018_19
