#t E1 E2 KKK P_KKK KK P_KK PP_KK K P_K PP_K KPase KKPase E1_KKK E2_P_KKK P_KKK_KK P_KKK_P_KK PP_KK_K PP_KK_P_K KKPase_PP_KK KKPase_P_KK KPase_PP_K KPase_P_K K_PP_norm rel_K_PP_max KK_PP_norm KKK_P_norm r1a r1b r2a r2b r3a r3b r4a r4b r5a r5b r6a r6b r7a r7b r8a r8b r9a r9b r10a r10b compartment K_PP_norm_max 
##CONCENTRATIONS
30 0.0000297722 0.0002998214 0.0022958349 0.0001787011 0.5016335524 0.3798346881 0.2253495335 0.0134797864 0.1096071165 0.8921122602 0.0276557615 0.0000994301 0.000000227842 0.000000178577 0.0002988301 0.0002262275 0.0101309849 0.0823256136 0.0000746714 0.0001258986 0.0822369689 0.0101072696 0.8119576909 0.9021260963 0.2649006694 0.2346180039 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
31 0.0000297728 0.0002998161 0.0022888974 0.0001840382 0.4760107717 0.3824913047 0.2482839801 0.0112027374 0.1005448213 0.9033774930 0.0276090382 0.0000966964 0.000000227159 0.000000183908 0.0002920372 0.0002346162 0.0092743453 0.0832096412 0.0000800096 0.0001232940 0.0831351852 0.0092557766 0.8220938985 0.9133879361 0.2840399802 0.2369296562 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
32 0.0000297734 0.0002998107 0.0022828587 0.0001894243 0.4510410631 0.3840713012 0.2716489851 0.0094284251 0.0927306556 0.9129081321 0.0275727345 0.0000941723 0.000000226564 0.000000189287 0.0002848185 0.0002424827 0.0085400387 0.0839654831 0.0000852554 0.0001205722 0.0839022173 0.0085250482 0.8306752911 0.9229222977 0.3035331353 0.2389416007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
33 0.0000297739 0.0002998053 0.0022777131 0.0001948585 0.4267673314 0.3845984548 0.2953765594 0.0080263710 0.0859435939 0.9210516600 0.0275441131 0.0000918413 0.000000226057 0.000000194714 0.0002772234 0.0002497842 0.0079050214 0.0846174668 0.0000904089 0.0001177497 0.0845631279 0.0078927590 0.8380123233 0.9310741118 0.3233245471 0.2406557894 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
34 0.0000297744 0.0002997998 0.0022734544 0.0002003376 0.4032284680 0.3841075993 0.3193919033 0.0069036182 0.0800131909 0.9280684881 0.0275212326 0.0000896882 0.000000225637 0.000000200186 0.0002692996 0.0002564826 0.0073520662 0.0851838692 0.0000954689 0.0001148429 0.0851368515 0.0073419159 0.8443377830 0.9381020178 0.3433527563 0.2420742846 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
35 0.0000297747 0.0002997943 0.0022700758 0.0002058555 0.3804587873 0.3826430176 0.3436155227 0.0059955541 0.0748012821 0.9341591838 0.0275027538 0.0000876990 0.000000225304 0.000000205696 0.0002610929 0.0002625447 0.0068674333 0.0856793006 0.0001004328 0.0001118681 0.0856382612 0.0068589850 0.8498312042 0.9442054868 0.3635522411 0.2431993443 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
36 0.0000297749 0.0002997888 0.0022675695 0.0002114037 0.3584883689 0.3802574944 0.3679638290 0.0052501608 0.0702089849 0.9394728775 0.0274876017 0.0000858614 0.000000225057 0.000000211236 0.0002526478 0.0002679426 0.0064414422 0.0861141364 0.0001052969 0.0001088416 0.0860781458 0.0064342525 0.8546258528 0.9495325841 0.3838539204 0.2440335585 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
37 0.0000297751 0.0002997832 0.0022659264 0.0002169708 0.3373431134 0.3770112087 0.3923506358 0.0046361379 0.0661391443 0.9441372997 0.0274751267 0.0000841639 0.000000224894 0.000000216795 0.0002440077 0.0002726535 0.0060645381 0.0864980067 0.0001100568 0.0001057793 0.0864664237 0.0060584496 0.8588364362 0.9542107554 0.4041860312 0.2445799804 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
38 0.0000297752 0.0002997776 0.0022651350 0.0002225414 0.3170454887 0.3729731909 0.4166837312 0.0041246347 0.0625213681 0.9482504305 0.0274647421 0.0000825961 0.000000224816 0.000000222358 0.0002352157 0.0002766607 0.0057300194 0.0868382894 0.0001147064 0.0001026975 0.0868104349 0.0057248230 0.8625507211 0.9583375140 0.4244722887 0.2448424270 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
39 0.0000297752 0.0002997721 0.0022651828 0.0002280989 0.2976122634 0.3682114901 0.4408779582 0.0036962470 0.0592975747 0.9518890582 0.0274560518 0.0000811490 0.000000224821 0.000000227907 0.0002263131 0.0002799524 0.0054323446 0.0871408272 0.0001192408 0.0000996102 0.0871160879 0.0054278603 0.8658376218 0.9619894270 0.4446419756 0.2448250942 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
40 0.0000297751 0.0002997666 0.0022660545 0.0002336229 0.2790566172 0.3628006313 0.4648454839 0.0033339500 0.0564140301 0.9551235081 0.0274487049 0.0000798134 0.000000224906 0.000000233423 0.0002173433 0.0002825209 0.0051663687 0.0874108480 0.0001236551 0.0000965315 0.0873888178 0.0051624773 0.8687602716 0.9652366389 0.4646219631 0.2445330874 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
41 0.0000297749 0.0002997611 0.0022677307 0.0002390885 0.2613888690 0.3568235256 0.4884927164 0.0030253556 0.0538297380 0.9580066040 0.0274424518 0.0000785819 0.000000225071 0.000000238880 0.0002083472 0.0002843696 0.0049282550 0.0876524992 0.0001279417 0.0000934764 0.0876327339 0.0049248143 0.8713661149 0.9681318628 0.4843345102 0.2439728379 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
