timepoint,well,indsyn,pptase,590,800,Indconc,Indconcnorm,IndconcNormRange,Bacnorm,ExpID,typeID
755,B10,synT5,sfp,0.153430001,0.110290007,-0.008822593,-0.05437567,3.11E-05,0.248630509,1,T5
760,B10,synT5,sfp,0.159290007,0.113599999,-0.007832065,-0.046864336,0.000663526,0.256092337,1,T5
765,B10,synT5,sfp,0.163420005,0.116879997,-0.008527421,-0.04959319,0.000219528,0.263486549,1,T5
770,B10,synT5,sfp,0.167329996,0.119369993,-0.008280576,-0.047153059,0.000377144,0.269099832,1,T5
775,B10,synT5,sfp,0.171749998,0.122019994,-0.007759109,-0.043224043,0.000710109,0.275073819,1,T5
780,B10,synT5,sfp,0.176339994,0.12489,-0.007391307,-0.040228894,0.000944958,0.28154377,1,T5
785,B10,synT5,sfp,0.180300012,0.127689998,-0.007550493,-0.040194157,0.000843315,0.287855901,1,T5
790,B10,synT5,sfp,0.183650003,0.130149994,-0.007819513,-0.040839465,0.000671541,0.293401554,1,T5
795,B10,synT5,sfp,0.187100008,0.133210007,-0.008871231,-0.045268024,0,0.300299845,1,T5
800,B10,synT5,sfp,0.192339987,0.136339997,-0.008235922,-0.041061373,0.000405656,0.307355889,1,T5
805,B10,synT5,sfp,0.196079994,0.138440003,-0.007585328,-0.037244081,0.000821072,0.312090003,1,T5
810,B10,synT5,sfp,0.200170013,0.141479995,-0.007967578,-0.038280342,0.000576998,0.31894316,1,T5
815,B10,synT5,sfp,0.204980009,0.144900002,-0.008188908,-0.038415114,0.000435675,0.326652999,1,T5
820,B10,synT5,sfp,0.208540004,0.147150003,-0.00793899,-0.036673259,0.000595252,0.331725252,1,T5
825,B10,synT5,sfp,0.212770004,0.149769999,-0.007563385,-0.034327003,0.000835083,0.337631598,1,T5
830,B10,synT5,sfp,0.215569997,0.151680004,-0.007573286,-0.033939117,0.000828761,0.341937387,1,T5
835,B10,synT5,sfp,0.218600013,0.153490001,-0.007206038,-0.03191251,0.001063255,0.346017725,1,T5
840,B10,synT5,sfp,0.22201001,0.156560002,-0.008312457,-0.036090516,0.000356787,0.352938531,1,T5
845,B10,synT5,sfp,0.226370009,0.158149997,-0.006291572,-0.027041732,0.001647158,0.356522912,1,T5
850,B10,synT5,sfp,0.22865001,0.160380004,-0.007292234,-0.030906862,0.001008217,0.361550091,1,T5
