t, obs_S1, obs_pS1, obs_S2, obs_pS2, obs_pS2_pS2, obs_ppS2
62.709, 0.0490196, 4.95098, 0.912281, 0.911737, 0.832389, 90.2241
62.8763, 0.0490196, 4.95098, 0.912272, 0.911737, 0.832371, 90.225
63.2609, 0.0490196, 4.95098, 0.912252, 0.911737, 0.832329, 90.227
63.7124, 0.0490196, 4.95098, 0.912229, 0.911737, 0.832282, 90.2294
63.8127, 0.0490196, 4.95098, 0.912224, 0.911737, 0.832272, 90.2299
64.3645, 0.0490196, 4.95098, 0.912198, 0.911737, 0.832218, 90.2326
64.5485, 0.0490196, 4.95098, 0.91219, 0.911737, 0.832201, 90.2334
64.9164, 0.0490196, 4.95098, 0.912173, 0.911737, 0.832167, 90.2351
65.3846, 0.0490196, 4.95098, 0.912154, 0.911737, 0.832126, 90.2371
65.4682, 0.0490196, 4.95098, 0.91215, 0.911737, 0.832119, 90.2375
66.0201, 0.0490196, 4.95098, 0.912128, 0.911737, 0.832073, 90.2398
66.2207, 0.0490196, 4.95098, 0.91212, 0.911737, 0.832057, 90.2406
66.5719, 0.0490196, 4.95098, 0.912107, 0.911737, 0.83203, 90.2419
67.0569, 0.0490196, 4.95098, 0.91209, 0.911737, 0.831994, 90.2437
67.1237, 0.0490196, 4.95098, 0.912087, 0.911737, 0.831989, 90.2439
67.6756, 0.0490196, 4.95098, 0.912069, 0.911737, 0.83195, 90.2459
67.893, 0.0490196, 4.95098, 0.912062, 0.911737, 0.831936, 90.2466
68.2274, 0.0490196, 4.95098, 0.912051, 0.911737, 0.831914, 90.2477
