#t S I1 I2 R1 R2 V Iv2 J2 J1 R mu beta gamma sigma sigmaV strain1_frac strain2_frac S_frac V_frac R_1_frac R_2_frac R_frac r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 env N l_e R0 p tau theta nu eta tInf tImm tImm_V 
##CONCENTRATIONS
93 0.0373037755 0.0012285009 0.0017647920 0.0444766966 0.0859936600 0.0692128247 0.0004913881 0.0005263103 0.0007083296 0.8982306652 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019368304 0.0027824904 0.0373037755 0.0692128247 0.9427073618 0.9842243252 0.8982306652 0.000000 0.0200000000 0.0007460755 0.0013842565 0.0000245700 0.0000352958 0.00000982776 0.0008895339 0.0017198732 0.0000141666 0.0000105262 0.0179646133 0.0213730416 0.0307049507 0.0170908414 0.0213525150 0.0306737652 0.0246348533 0.0183045115 0.0246228855 0.0182955490 0.0170815871 0.0022238348 0.0042996830 0.0449115333 0.0013842565 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
94 0.0372991325 0.0012244517 0.0017606761 0.0444121102 0.0860128137 0.0693521376 0.0004912909 0.0005243860 0.0007062412 0.8953815363 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019306929 0.0027763530 0.0372991325 0.0693521376 0.9397936465 0.9813943501 0.8953815363 0.000000 0.0200000000 0.0007459826 0.0013870428 0.0000244890 0.0000352135 0.00000982582 0.0008882422 0.0017202563 0.0000141248 0.0000104877 0.0179076307 0.0213026620 0.0306334107 0.0170874686 0.0212821367 0.0306022267 0.0245622589 0.0182376147 0.0245502904 0.0182286565 0.0170782084 0.0022206055 0.0043006407 0.0447690768 0.0013870428 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
95 0.0372945582 0.0012204833 0.0017566418 0.0443485580 0.0860316843 0.0694892585 0.0004911952 0.0005225005 0.0007041942 0.8925890121 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019246775 0.0027703376 0.0372945582 0.0694892585 0.9369375701 0.9786206964 0.8925890121 0.000000 0.0200000000 0.0007458912 0.0013897852 0.0000244097 0.0000351328 0.00000982390 0.0008869712 0.0017206337 0.0000140839 0.0000104500 0.0178517802 0.0212336849 0.0305632896 0.0170841573 0.0212131619 0.0305321081 0.0244911022 0.0181720590 0.0244791309 0.0181631138 0.0170748804 0.0022174279 0.0043015842 0.0446294506 0.0013897852 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
96 0.0372900522 0.0012165938 0.0017526875 0.0442860289 0.0860502734 0.0696242087 0.0004911008 0.0005206530 0.0007021875 0.8898518349 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019187813 0.0027644413 0.0372900522 0.0696242087 0.9341378638 0.9759021083 0.8898518349 0.000000 0.0200000000 0.0007458010 0.0013924842 0.0000243319 0.0000350537 0.00000982202 0.0008857206 0.0017210055 0.0000140438 0.0000104131 0.0177970367 0.0211660792 0.0304945558 0.0170809038 0.0211455595 0.0304633777 0.0244213509 0.0181078156 0.0244093750 0.0180988915 0.0170716000 0.0022143014 0.0043025137 0.0444925917 0.0013924842 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
97 0.0372856141 0.0012127815 0.0017488112 0.0442245119 0.0860685827 0.0697570099 0.0004910077 0.0005188427 0.0007002203 0.8871687470 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019130018 0.0027586616 0.0372856141 0.0697570099 0.9313932589 0.9732373297 0.8871687470 0.000000 0.0200000000 0.0007457123 0.0013951402 0.0000242556 0.0000349762 0.00000982015 0.0008844902 0.0017213717 0.0000140044 0.0000103769 0.0177433749 0.0210998139 0.0304271777 0.0170777040 0.0210792983 0.0303960037 0.0243529726 0.0180448561 0.0243409906 0.0180359605 0.0170683640 0.0022112256 0.0043034291 0.0443584374 0.0013951402 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
98 0.0372812434 0.0012090446 0.0017450111 0.0441639959 0.0860866141 0.0698876836 0.0004909158 0.0005170687 0.0006982916 0.8845384907 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019073362 0.0027529956 0.0372812434 0.0698876836 0.9287024866 0.9706251048 0.8845384907 0.000000 0.0200000000 0.0007456249 0.0013977537 0.0000241809 0.0000349002 0.00000981832 0.0008832799 0.0017217323 0.0000139658 0.0000103414 0.0176907698 0.0210348579 0.0303611237 0.0170745534 0.0210143472 0.0303299546 0.0242859349 0.0179831521 0.0242739454 0.0179742914 0.0170651693 0.0022081998 0.0043043307 0.0442269245 0.0013977537 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
99 0.0372769363 0.0012053834 0.0017412879 0.0441044369 0.0861043852 0.0700163268 0.0004908264 0.0005153305 0.0006964019 0.8819614225 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0019017853 0.0027474448 0.0372769363 0.0700163268 0.9260658594 0.9680658077 0.8819614225 0.000000 0.0200000000 0.0007455387 0.0014003265 0.0000241077 0.0000348258 0.00000981653 0.0008820887 0.0017220877 0.0000139280 0.0000103066 0.0176392284 0.0209712169 0.0302964065 0.0170714923 0.0209507112 0.0302652428 0.0242202541 0.0179226901 0.0242082561 0.0179138684 0.0170620590 0.0022052218 0.0043052193 0.0440980711 0.0014003265 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
100 0.0372726935 0.0012017953 0.0017376391 0.0440458343 0.0861218928 0.0701429373 0.0004907388 0.0005136271 0.0006945498 0.8794357751 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0018963452 0.0027420051 0.0372726935 0.0701429373 0.9234816093 0.9655576679 0.8794357751 0.000000 0.0200000000 0.0007454539 0.0014028587 0.0000240359 0.0000347528 0.00000981478 0.0008809167 0.0017224379 0.0000138910 0.0000102725 0.0175887155 0.0209088482 0.0302329808 0.0170685015 0.0208883477 0.0302018225 0.0241558822 0.0178634375 0.0241438751 0.0178546579 0.0170590155 0.0022022917 0.0043060946 0.0439717888 0.0014028587 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
##CONCENTRATIONS
#t S I1 I2 R1 R2 V Iv2 J2 J1 R mu beta gamma sigma sigmaV strain1_frac strain2_frac S_frac V_frac R_1_frac R_2_frac R_frac r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 env N l_e R0 p tau theta nu eta tInf tImm tImm_V 


