#t RCT0 alpha BN1 BN2 BN3 BN4 BTX BM RCT1 RC beta cell k0 k1 k2 k3 k4 q epsilon 
##CONCENTRATIONS
25 -0.000000 0.0001327687 8.8524788763 13.64517610284 12.11183222509 8.3524236445 2.0434338733 8.8656163098 46.12890619942 46.12890619941 53.87096103187 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
26 -0.000000 0.00000606144 7.5678764328 12.85155790975 12.27619441615 8.9120623570 2.2171932042 10.04620341927 46.12890619944 46.12890619941 53.87108773915 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
27 -0.000000 0.000000164240 6.4695937344 12.00090790137 12.29682274085 9.4034695075 2.3800509999 11.32024875229 46.12890619945 46.12890619941 53.87109363634 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
28 -0.000000 0.00000000280785 5.5306941881 11.12648920782 12.18889054982 9.8167835029 2.5277425890 12.68049376019 46.12890619942 46.12890619942 53.87109379777 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
29 0.000000 0.00000000445562 4.7280523091 10.25311615659 11.96954422650 10.14594255083 2.6568826940 14.11755585906 46.12890619941 46.12890619942 53.87109379613 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
30 0.000000 0.000000 4.0418938122 9.3989017484 11.65652468783 10.38831104000 2.7650258770 15.62043663457 46.12890619941 46.12890619941 53.87109379990 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
31 -0.000000 -0.000000 3.4553140475 8.5766795099 11.26721851888 10.54419339595 2.8506479541 17.17704037481 46.12890619943 46.12890619940 53.87109380121 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
32 -0.000000 -0.000000 2.9538616575 7.7951545340 10.81803168866 10.61630602228 2.9130735465 18.77466635194 46.12890619942 46.12890619941 53.87109380092 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
33 0.000000 0.00000000298822 2.5251825418 7.0598314471 10.32400425396 10.60925379308 2.9523707887 20.40045097286 46.12890619941 46.12890619941 53.87109379760 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
34 0.000000 0.000000 2.1587154749 6.3737600959 9.7986015572 10.52904036650 2.9692297963 22.04174650930 46.12890619941 46.12890619942 53.87109379999 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
35 -0.000000 -0.000000 1.8454314938 5.7381328303 9.2536328671 10.38262861782 2.9648368312 23.68643116337 46.12890619943 46.12890619942 53.87109380358 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
36 0.000000 0.000000 1.5776121546 5.1527582205 8.6992586370 10.17756184626 2.9407535428 25.32314939892 46.12890619941 46.12890619942 53.87109380005 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
37 0.000000 -0.000000 1.3486603866 4.6164357203 8.1440573233 9.9216463542 2.8988062341 26.94148778235 46.12890619940 46.12890619941 53.87109380095 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
38 0.000000 -0.000000 1.1529307677 4.1272643462 7.5951373120 9.6226807695 2.8409830910 28.53209751536 46.12890619927 46.12890619934 53.87109380169 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
39 -0.000000 0.000000 0.9856049125 3.6828493147 7.0582541009 9.2882732107 2.7693587117 30.08675354993 46.12890619941 46.12890619931 53.87109380044 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
40 0.000000 0.000000 0.8425629832 3.2804986741 6.5379569258 8.9256704549 2.6860184493 31.59838631304 46.12890619899 46.12890619919 53.87109380049 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
41 0.00000000318876 0.000000 0.7202819327 2.9173617280 6.0377302036 8.5416440152 2.5930020903 33.06107383244 46.12890619446 46.12890619765 53.87109380229 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
42 -0.000000 0.000000 0.6157504012 2.5905300031 5.5601314289 8.1424161745 2.4922613001 34.47000450173 46.12890619126 46.12890619035 53.87109380948 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
43 -0.000000 0.000000 0.5263895683 2.2971173296 5.1069345958 7.7336149510 2.3856262526 35.82141111222 46.12890619041 46.12890619023 53.87109380957 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
44 0.000000 0.000000 0.4499972472 2.0343078133 4.6792384850 7.3202599518 2.2747874239 37.11250288835 46.12890619033 46.12890619035 53.87109380955 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
45 -0.000000 0.000000 0.3846905657 1.7993989281 4.2775825615 6.9067594181 2.1612803694 38.34138196728 46.12890618988 46.12890618962 53.87109380996 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
46 -0.000000 -0.000000 0.3288609725 1.5898273276 3.9020436640 6.4969244362 2.0464789293 39.50695848231 46.12890618985 46.12890618983 53.87109381182 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
47 0.000000 0.00000000164399 0.2811338757 1.4031858624 3.5523257680 6.0939950853 1.9315935783 40.60885963825 46.12890619039 46.12890619041 53.87109380795 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
48 -0.000000 -0.000000 0.2403335643 1.2372329401 3.2278399985 5.7006754232 1.8176741897 41.64733769256 46.12890619309 46.12890619160 53.87109380851 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
49 -0.000000 -0.000000 0.2054544770 1.0898948044 2.9277711759 5.3191743873 1.7056166454 42.62318231478 46.12890619864 46.12890619666 53.87109380485 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
50 0.00000000340202 0.00000000547503 0.1756374056 0.9592637244 2.6511329843 4.9512483831 1.5961715163 43.53763978811 46.12890618932 46.12890619272 53.87109380180 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
51 -0.000000 -0.000000 0.1501479752 0.8435937592 2.3968171999 4.5982457316 1.4899541977 44.39233494294 46.12890619770 46.12890619508 53.87109380648 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
52 0.000000 0.00000000138830 0.1283576356 0.7412936580 2.1636363141 4.2611535191 1.3874567845 45.18919588682 46.12890620043 46.12890620048 53.87109379813 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
53 -0.000000 0.00000000463772 0.1097296534 0.6509189812 1.9503539866 3.9406381334 1.2890591855 45.93039386095 46.12890619473 46.12890619437 53.87109380099 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
54 -0.000000 -0.000000 0.0938050739 0.5711629567 1.7557142211 3.6370882018 1.1950413019 46.61828204597 46.12890620023 46.12890619904 53.87109380133 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
55 0.000000 0.00000000891299 0.0801915451 0.5008469154 1.5784633329 3.3506536756 1.1055947185 47.25534360734 46.12890619556 46.12890619619 53.87109379490 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
56 -0.000000 -0.000000 0.0685537042 0.4389106750 1.4173674124 3.0812820052 1.0208339039 47.84414610363 46.12890620017 46.12890619919 53.87109380444 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
57 0.000000 -0.000000 0.0586047956 0.3844029484 1.2712260009 2.8287515678 0.9408068876 48.38730159293 46.12890620676 46.12890620744 53.87109379318 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
58 -0.000000 -0.000000 0.0500997428 0.3364720618 1.1388823339 2.5927018601 0.8655051824 48.88743261726 46.12890621015 46.12890620839 53.87109379822 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
59 0.000000 -0.000000 0.0428289825 0.2943570906 1.0192307789 2.3726605390 0.7948729015 49.34714350321 46.12890620623 46.12890620687 53.87109379566 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
