#t EGF R Ra R2 RP PLCg RPLCg RPLCgP PLCgP Grb RG SOS RGS GS Shc RSh RShP ShP RShG ShG RShGS ShGS PLCgl v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24 v25 compartment 
##CONCENTRATIONS
32 580.447798178690 0.4477981787 13.17955208202 19.02134174134 2.3249903937 16.70402881595 2.3799523195 7.8485526250 4.4732456451 16.30829466804 1.6145955739 1.8194525063 0.5413634134 1.9126505031 8.4511656523 0.3330531306 6.5998664685 69.99281890706 1.2019232442 33.69463902015 1.3206859596 28.40584761766 73.59422059449 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
33 580.458778257002 0.4587782570 13.49748791784 19.85395863372 2.4262095847 14.95518296648 2.2437878919 7.5322024805 4.4523619797 16.03663435261 1.6510834777 1.8086501743 0.5424992263 1.8834208214 7.2583282170 0.3005026239 6.1162121171 71.43859492010 1.1239220426 33.99701030131 1.2314888342 28.53394094384 75.81646468146 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
34 580.469659183060 0.4696591831 13.81120261425 20.68290475926 2.5263102811 13.33315489414 2.1028557779 7.1940919840 4.4220921990 15.80021849440 1.6883224403 1.7996470675 0.5445518246 1.8581260448 6.2277406593 0.2702860978 5.6505623325 72.74262971448 1.0517415220 34.25936461072 1.1479420819 28.64973298126 77.94780514500 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
35 580.480359859413 0.4803598594 14.11834329210 21.50080785207 2.6243398582 11.83890397287 1.9589610779 6.8372306757 4.3829604502 15.59495417310 1.7263229235 1.7921782915 0.5474806690 1.8363426349 5.3453445586 0.2426195825 5.2077778513 73.90935840816 0.9852124129 34.48568878195 1.0698955212 28.75410288338 79.98194382337 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
36 580.490799537055 0.4907995371 14.41659796568 22.30030724472 2.7194411207 10.47172835701 1.8139802841 6.4652649881 4.3357020069 15.41717758395 1.7650545722 1.7860275994 0.5512394397 1.8176724750 4.5964448563 0.2175989214 4.7920278127 74.94507248049 0.9241819594 34.67961348388 0.9972049056 28.84785558018 81.91332436389 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
37 580.500901186448 0.5009011864 14.70380052607 23.07444469473 2.8108258598 9.2292048741 1.6697805830 6.0823556015 4.2812518586 15.26356396716 1.8044506797 1.7810094156 0.5557764037 1.8017417699 3.9662298507 0.1952424545 4.4065433909 75.85751712446 0.8684993872 34.84449538154 0.9297300887 28.93174232205 83.73740708286 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
38 580.510594002255 0.5105940023 14.97802493212 23.81695450616 2.8977422805 8.1073176302 1.5281758743 5.6929883096 4.2207110078 15.13109475983 1.8444132585 1.7769608065 0.5610349980 1.7882065802 3.4401565965 0.1755384669 4.0535029337 76.65555159947 0.8180081929 34.98344459523 0.8673317122 29.00646590309 85.45080717812 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
39 580.519815901089 0.5198159011 15.23762869132 24.52226448560 2.9795508631 7.1005788604 1.3909078293 5.3018188008 4.1553020600 15.01704397108 1.8848185116 1.7737401604 0.5669545894 1.7767468732 3.0041987162 0.1584149734 3.7341555308 77.34879472480 0.7725295244 35.09934815331 0.8098625953 29.07269578171 87.05139244944 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
40 580.528515540969 0.5285155410 15.48131029010 25.18589566577 3.0558551676 6.2024514815 1.2594252902 4.9134668208 4.0863176574 14.91896360900 1.9255232670 1.7712233178 0.5734713551 1.7670757594 2.6453271079 0.1436853813 3.4487482100 77.94727329131 0.7318527837 35.19488365806 0.7571631431 29.13106642463 88.53833875019 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
41 580.536653992742 0.5366539927 15.70815741637 25.80479588850 3.1264627794 5.4057681382 1.1347885748 4.5322594123 4.0150600296 14.83466797957 1.9663721569 1.7693019473 0.5805196243 1.7589313282 2.3518260370 0.1311076991 3.1964949817 78.46106237112 0.6957362036 35.27252560731 0.7090569748 29.18219012532 89.91212384510 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
42 580.544205560622 0.5442055606 15.91765009096 26.37710624782 3.1912456218 4.7027921482 1.0178226562 4.1621075441 3.9427926756 14.76221873511 2.0072030994 1.7678817463 0.5880327101 1.7520801318 2.1132070022 0.1204652535 2.9758337018 78.90002871875 0.6639059091 35.33455400280 0.6653494305 29.22665598133 91.17448497593 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
43 580.551157998887 0.5511579989 16.10964041691 26.90184164638 3.2500526345 4.0853830859 0.9092443229 3.8063797922 3.8706807525 14.69990575603 2.0478543967 1.7668800088 0.5959441770 1.7463182785 1.9200932651 0.1116167393 2.7847787630 79.27353384102 0.6360609634 35.38305889263 0.6258273568 29.26503017886 92.32831204655 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
