#t PX PY PZ X Y Z t_ave beta k_tl a_tr a0_tr kd_prot kd_mRNA alpha alpha0 Reaction1 Reaction2 Reaction3 Reaction4 Reaction5 Reaction6 Reaction7 Reaction8 Reaction9 Reaction10 Reaction11 Reaction12 cell eff n KM tau_mRNA tau_prot ps_a ps_0 
##CONCENTRATIONS
41 524.158311165130 99.99935789642 440.864762177199 1.4294393708 0.4860430287 9.9062153787 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.4954059348 0.1684496775 3.4332326299 9.9081186963 3.3689935499 68.66465259742 36.33188555512 6.9314272984 30.55841669114 0.2747008297 0.2035241521 4.1638388680 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
42 497.921413711348 96.68248728968 480.151625665493 1.2253506725 0.5238374558 10.63494362112 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.4246741819 0.1815482278 3.6857905932 8.4934836385 3.6309645553 73.71581186397 34.51328240544 6.7015193474 33.28157455713 0.2365600355 0.2221725635 4.4101767831 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
43 472.181834058779 93.86039793187 521.650337075207 1.0518321550 0.5675209888 11.34999039768 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.3645372463 0.1966877866 3.9336069218 7.2907449266 3.9337557329 78.67213843538 32.72915069895 6.5059070193 36.15804603818 0.2051869143 0.2435416884 4.6364399302 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
44 447.096481443952 91.54182838113 565.066693340452 0.9052070678 0.6178217011 12.03494435871 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.3137208634 0.2141206851 4.1709938752 6.2744172689 4.2824137022 83.41987750433 30.99036655511 6.3451960246 39.16743853173 0.1794295576 0.2679807799 4.8348547101 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
45 422.788788208291 89.74010649829 610.009744211459 0.7819297527 0.6755633919 12.67151593363 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.2709962017 0.2341324302 4.3916127714 5.4199240346 4.6826486039 87.83225542816 29.30548565189 6.2203101802 42.28265343143 0.1583127498 0.2958824754 4.9974273042 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
46 399.351805700074 88.47354286937 655.987536706750 0.6787078448 0.7416790982 13.24008168613 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.2352222145 0.2570463879 4.5886626456 4.7044442901 5.1409277577 91.77325291123 27.68095781725 6.1325186794 45.46959115507 0.1410206498 0.3276871424 5.1163596082 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
47 376.852245657866 87.76587707208 702.407148168774 0.5925503087 0.8172267266 13.72043716967 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.2053622879 0.2832292007 4.7551411701 4.1072457581 5.6645840144 95.10282340205 26.12140715654 6.0834670242 48.68715343583 0.1268774632 0.3638866196 5.1845498676 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
48 355.333344897631 87.64680095453 748.580195236486 0.5208323421 0.9034025770 14.09278037654 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.1805067347 0.3130954746 4.8841854921 3.6101346945 6.2619094919 97.68370984250 24.62983061747 6.0752132967 51.88762517512 0.1153280478 0.4050299562 5.1961492968 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
49 334.818040592243 88.15253728311 793.737124151926 0.4613176798 1.0015499389 14.33896291332 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.1598805246 0.3471107582 4.9695058578 3.1976104911 6.9422151634 99.39011715523 23.20781808371 6.1102682677 55.01766497117 0.1059192309 0.4517298511 5.1471343613 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
50 315.313793194856 89.32638194737 837.047539153844 0.4120868553 1.1131607238 14.44377618148 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.1428184209 0.3857921086 5.0058313684 2.8563684189 7.7158421722 100.116627368290 21.85588667447 6.1916329796 58.01971417591 0.0982835127 0.5046651806 5.0358446871 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
51 296.815793863849 91.21926610298 877.648716558569 0.3715037700 1.2398869259 14.39628179375 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.1287533954 0.4297120634 4.9893710679 2.5750679072 8.5942412687 99.78742135886 20.57370306624 6.3228377112 60.83397334046 0.0921246708 0.5645842314 4.8634058945 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
52 279.309760239868 93.89036749844 914.679707917786 0.3381824629 1.3835563000 14.19101226164 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.1172051103 0.4795040742 4.9182300692 2.3441022064 9.5900814848 98.36460138450 19.36027728131 6.5079843513 63.40076606586 0.0872056440 0.6323065646 4.6339513503 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
53 262.774224726939 97.40776065387 947.321552677967 0.3109529617 1.5461882461 13.82896885507 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.1077680843 0.5358680117 4.7927553860 2.1553616868 10.71736023399 95.85510771941 18.21412129933 6.7517914662 65.66332633224 0.0833381905 0.7087232981 4.3545693027 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
54 247.181731333242 101.849163458944 974.841074244106 0.2888583375 1.7300077906 13.31805102389 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.1001106711 0.5995750112 4.6156847589 2.0022134219 11.99150022388 92.31369517764 17.13333201596 7.0596460494 67.57083421063 0.0803742392 0.7947992250 4.0349269497 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
55 232.500723918096 107.302663861989 996.630102155266 0.2711188672 1.9374383158 12.67291482085 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.0939626392 0.6714649530 4.3920975888 1.8792527841 13.42929906098 87.84195177547 16.11572212620 7.4376538923 69.08113453701 0.0781991866 0.8915691854 3.6865888218 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
56 218.696993408511 113.867331011318 1012.2398849845008 0.2570994917 2.1710921317 11.91418426349 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.0891038939 0.7524431949 4.1291416155 1.7820778779 15.04886389841 82.58283230909 15.15892043780 7.8926819448 70.16312223273 0.0767263863 1.0001310244 3.3221021722 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
